edinet_cd,name,正規化エネルギー種別,表示単位,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31,2022-03-31,2023-03-31,2024-03-31,2025-03-31,2026-03-31
E04498,東京電力ホールディングス株式会社,水力,百万kWh,10034,12212,11071,10743,12499,13662,12204,11051,10706,9833
E04498,東京電力ホールディングス株式会社,火力,百万kWh,190276,184384,179610,160,159,157,156,155,159,154
E04498,東京電力ホールディングス株式会社,原子力,百万kWh,,,,,,,,,,752
E04498,東京電力ホールディングス株式会社,新エネルギー等,百万kWh,68,72,71,62,56,66,61,57,73,80
E04498,東京電力ホールディングス株式会社,合計,百万kWh,200378,196668,190752,10966,12713,13886,12420,11263,10938,10819
E04499,関西電力株式会社,水力,百万kWh,13362,13761,13496,13523,12775,13531,13443,13554,13655,12871
E04499,関西電力株式会社,火力,百万kWh,81523,67787,61207,57916,61437,46961,45394,39230,39932,35305
E04499,関西電力株式会社,原子力,百万kWh,-440,12865,30092,26717,15335,33553,26544,42085,48634,46009
E04499,関西電力株式会社,新エネルギー等,百万kWh,93,80,19,13,28,26,21,11,12,10
E04500,北海道電力株式会社,水力,百万kWh,3846,3279,4083,3277,3450,3454,3832,3597,2992,3646
E04500,北海道電力株式会社,火力,百万kWh,20569,21029,19082,18020,18007,19554,16487,15382,16167,15186
E04500,北海道電力株式会社,新エネルギー等,百万kWh,135,148,145,128,129,113,111,104,117,59
E04500,北海道電力株式会社,合計,百万kWh,,,,21425,21586,,,,,
E04501,東北電力株式会社,水力,百万kWh,6914,8412,7372,8086,7897,8028,7990,7597,6795,7716
E04501,東北電力株式会社,火力,百万kWh,56346,56522,53830,52223,50913,51891,49347,49500,46122,43201
E04501,東北電力株式会社,原子力,百万kWh,,,-215,-215,,,,,2266,5199
E04501,東北電力株式会社,新エネルギー等,百万kWh,900,842,732,670,703,612,597,649,184,54
E04502,中部電力株式会社,水力,百万kWh,8573,8549,8526,8707,8253,8303,8337,8730,9263,8770
E04502,中部電力株式会社,火力,百万kWh,110217,108046,103969,,,,,,,
E04502,中部電力株式会社,原子力,百万kWh,-251,-255,-260,-248,,,,,,
E04502,中部電力株式会社,新エネルギー等,百万kWh,43,46,67,110,417,378,385,431,412,394
E04502,中部電力株式会社,合計,百万kWh,,,,,8669,8681,8722,9161,9674,9165
E04503,北陸電力株式会社,水力,百万kWh,5802,6966,6235,6215,6159,6169,6035,5701,5727,6113
E04503,北陸電力株式会社,火力,百万kWh,23434,22426,20203,21851,22095,24870,23104,18212,20295,19061
E04503,北陸電力株式会社,原子力,百万kWh,,,,,,,,,,0
E04503,北陸電力株式会社,新エネルギー等,百万kWh,5,4,4,5,5,5,5,4,4,5
E04504,中国電力株式会社,水力,百万kWh,3878,3784,3299,2943,3483,3515,3086,3379,3592,3427
E04504,中国電力株式会社,火力,百万kWh,35867,33643,32039,29975,28059,29775,30401,28249,24947,24724
E04504,中国電力株式会社,原子力,百万kWh,,,,,,,,,1980,6315
E04504,中国電力株式会社,新エネルギー等,百万kWh,8,8,8,7,8,9,16,49,109,173
E04505,四国電力株式会社,水力,百万kWh,3463,3408,3390,3481,2404,1976,1787,2140,2163,1633
E04505,四国電力株式会社,火力,百万kWh,22030,21977,19978,19047,12457,12619,11133,10810,9482,8677
E04505,四国電力株式会社,原子力,百万kWh,4945,4055,3339,5894,,2362,6903,6510,5722,6042
E04505,四国電力株式会社,新エネルギー等,百万kWh,2840,3269,3654,3898,7,7,4,4,4,7
E04506,九州電力株式会社,水力,百万kWh,4788,4653,5099,4809,4730,4541,4417,4439,4840,4678
E04506,九州電力株式会社,火力,百万kWh,45615,43260,26531,25891,32597,25935,35506,25644,24348,24103
E04506,九州電力株式会社,原子力,百万kWh,12455,14339,28812,28667,21676,31852,20077,31689,30822,28621
E04506,九州電力株式会社,新エネルギー等,百万kWh,1133,1092,1038,1048,1189,1323,1330,1400,1442,1411
E04509,沖縄電力株式会社,火力,百万kWh,6490.117,6247.212,5811.718,5818.718,5857.877,5770.169,5880,5467,5796,5605
E04509,沖縄電力株式会社,新エネルギー等,百万kWh,1.948,1.533,1.298,1.282,1.744,1.33,2,3,4,3
E34837,株式会社ＪＥＲＡ,火力,百万kWh,,,,,244632,247306,235113,230864,227235,228623
E36432,東京電力リニューアブルパワー株式会社,水力,百万kWh,,,,,,13662,12204,11051,10706,9833
E36432,東京電力リニューアブルパワー株式会社,新エネルギー等,百万kWh,,,,,,66,61,57,73,78
E36432,東京電力リニューアブルパワー株式会社,合計,百万kWh,,,,,,13728,12264,11108,10779,9911
